# velocity_kms flux_normalized error
-299.9548 -8.7962e+01 -6.3207e+01
-298.2645 -5.6246e+01 -5.6052e+01
-296.5743 -1.3613e+00 -6.2080e+01
-294.8841 4.7164e+01 -6.4429e+01
-293.1939 5.6332e+01 -5.7321e+01
-291.5037 8.5900e+01 -6.5106e+01
-289.8134 5.8857e+01 -7.0305e+01
-288.1232 -2.9731e+01 -6.8349e+01
-286.4330 -4.8476e+00 -8.8690e+01
-284.7428 -8.9866e+00 -9.6548e+01
-283.0525 -3.0565e+01 -8.9253e+01
-281.3623 8.2570e+00 -1.1002e+02
-279.6721 3.2394e+01 -1.2050e+02
-277.9819 1.0593e+02 -1.0919e+02
-276.2916 6.8636e+01 -1.5620e+02
-274.6014 8.5619e+00 -1.8528e+02
-272.9112 -1.5897e+02 -1.9996e+02
-271.2210 -2.4160e+02 -2.9657e+02
-269.5307 -2.4772e+02 -3.9056e+02
-267.8405 -1.1748e+02 -4.7071e+02
-266.1503 4.8007e+02 -9.7284e+02
-264.4601 1.4141e+04 -1.3668e+04
-262.7698 -1.5612e+03 9.3226e+02
-261.0796 1.7936e+02 6.0012e+02
-259.3894 2.1595e+02 3.9896e+02
-257.6992 -3.2778e+02 2.1817e+02
-256.0089 -1.1619e+02 2.1735e+02
-254.3187 -2.2553e+00 1.8461e+02
-252.6285 1.9086e+02 1.4810e+02
-250.9383 7.1598e+01 1.4288e+02
-249.2480 2.0359e+01 1.2508e+02
-247.5578 6.1966e+01 1.0385e+02
-245.8676 2.1279e+01 1.0391e+02
-244.1774 8.6553e+00 9.4232e+01
-242.4872 4.6029e+01 8.2519e+01
-240.7969 1.4614e+00 7.6743e+01
-239.1067 -1.9008e+01 6.7666e+01
-237.4165 -3.6794e+01 5.8526e+01
-235.7263 -1.0003e+01 6.4625e+01
-234.0360 4.0698e+00 6.1688e+01
-232.3458 -7.4824e+00 5.3012e+01
-230.6556 -1.0524e+00 5.7263e+01
-228.9654 9.7003e+00 5.4680e+01
-227.2751 3.1127e+01 4.5135e+01
-225.5849 9.1491e+00 4.7505e+01
-223.8947 -1.9963e+01 4.4991e+01
-222.2045 -7.0817e+01 3.6163e+01
-220.5142 -2.3602e+00 4.1416e+01
-218.8240 3.0573e+01 4.0816e+01
-217.1338 3.6982e-01 3.5790e+01
-215.4436 5.1841e+00 3.9345e+01
-213.7533 1.5293e+01 3.9213e+01
-212.0631 4.6882e+01 4.7004e+01
-210.3729 1.5545e+01 4.0463e+01
-208.6827 -1.8259e+01 3.3564e+01
-206.9924 8.2326e+00 2.9514e+01
-205.3022 3.0247e+00 3.0859e+01
-203.6120 2.9064e+00 2.9678e+01
-201.9218 2.3748e+01 2.7873e+01
-200.2315 -4.9867e+00 2.8140e+01
-198.5413 -1.7445e+01 2.6498e+01
-196.8511 -7.6275e+00 2.3463e+01
-195.1609 -2.8875e+01 2.4233e+01
-193.4707 -2.9169e+01 2.3334e+01
