# velocity_kms flux_normalized error
-299.9461 1.0123e+00 5.1976e-02
-298.2954 9.5945e-01 5.2181e-02
-296.6447 1.0249e+00 5.1702e-02
-294.9940 9.9092e-01 5.1176e-02
-293.3433 9.4402e-01 4.9688e-02
-291.6926 9.4059e-01 5.1179e-02
-290.0419 9.2021e-01 4.9534e-02
-288.3912 8.6256e-01 4.3753e-02
-286.7405 8.9063e-01 4.9927e-02
-285.0898 8.9369e-01 4.9965e-02
-283.4391 8.5084e-01 4.1754e-02
-281.7884 8.2081e-01 4.9066e-02
-280.1376 8.0936e-01 4.9287e-02
-278.4869 8.1495e-01 4.0776e-02
-276.8362 7.2599e-01 4.5719e-02
-275.1855 6.7675e-01 4.5034e-02
-273.5348 7.1873e-01 3.9089e-02
-271.8841 6.3320e-01 4.1945e-02
-270.2334 5.7035e-01 4.0877e-02
-268.5827 5.9273e-01 3.7444e-02
-266.9320 5.1343e-01 3.8196e-02
-265.2813 4.5354e-01 3.7310e-02
-263.6306 4.9101e-01 3.6550e-02
-261.9799 4.3401e-01 3.5284e-02
-260.3292 4.1227e-01 3.4637e-02
-258.6785 4.1978e-01 3.5347e-02
-257.0278 3.8564e-01 3.3664e-02
-255.3771 3.6127e-01 3.0598e-02
-253.7264 3.7012e-01 3.4033e-02
-252.0756 3.8063e-01 3.3936e-02
-250.4249 3.9380e-01 2.9742e-02
-248.7742 3.4298e-01 3.2738e-02
-247.1235 3.1140e-01 3.2214e-02
-245.4728 3.3041e-01 2.7538e-02
-243.8221 3.4455e-01 3.3683e-02
-242.1714 3.5660e-01 3.3930e-02
-240.5207 3.8716e-01 2.9454e-02
-238.8700 4.0800e-01 3.5747e-02
-237.2193 4.3144e-01 3.6037e-02
-235.5686 4.8739e-01 3.3152e-02
-233.9179 4.8391e-01 3.7619e-02
-232.2672 4.6988e-01 3.7676e-02
-230.6165 4.8876e-01 3.5200e-02
-228.9658 5.4524e-01 3.9026e-02
-227.3151 5.8586e-01 4.0970e-02
-225.6644 5.9915e-01 4.0716e-02
-224.0136 5.8182e-01 4.0344e-02
-222.3629 5.6601e-01 3.9629e-02
-220.7122 5.9891e-01 4.1683e-02
-219.0615 6.3403e-01 4.1887e-02
-217.4108 6.8122e-01 4.0731e-02
-215.7601 6.7553e-01 4.3526e-02
-214.1094 6.6290e-01 4.2919e-02
-212.4587 6.2613e-01 3.6505e-02
-210.8080 6.2960e-01 4.0102e-02
-209.1573 6.3261e-01 4.5069e-02
-207.5066 6.1224e-01 3.7329e-02
-205.8559 5.6968e-01 4.3359e-02
-204.2052 5.2768e-01 4.2722e-02
-202.5545 4.8766e-01 3.3053e-02
-200.9038 3.8057e-01 3.5366e-02
-199.2531 3.2588e-01 3.4301e-02
-197.6024 3.3214e-01 2.7733e-02
-195.9516 2.7682e-01 3.0312e-02
-194.3009 2.2338e-01 2.9259e-02
-192.6502 1.5925e-01 2.1539e-02
-190.9995 1.8771e-01 2.5844e-02
-189.3488 2.0314e-01 2.6445e-02
-187.6981 1.8491e-01 2.3142e-02
-186.0474 1.8143e-01 2.5401e-02
-184.3967 1.8439e-01 2.5907e-02
-182.7460 1.9931e-01 2.5595e-02
-181.0953 2.5549e-01 3.4977e-02
-179.4446 3.0740e-01 4.1684e-02
-177.7939 3.1368e-01 3.2237e-02
-176.1432 3.2745e-01 3.2150e-02
-174.4925 3.4648e-01 3.2453e-02
-172.8418 4.1592e-01 3.6606e-02
-171.1911 4.1744e-01 3.5730e-02
-169.5404 3.9923e-01 3.2941e-02
-167.8896 3.5402e-01 3.3362e-02
-166.2389 2.8965e-01 3.1384e-02
-164.5882 2.1636e-01 2.4614e-02
-162.9375 1.6280e-01 2.3282e-02
-161.2868 1.0585e-01 2.1379e-02
-159.6361 4.8044e-02 1.3763e-02
-157.9854 2.6168e-02 1.3622e-02
-156.3347 1.3795e-02 1.3037e-02
-154.6840 1.0897e-02 9.7194e-03
-153.0333 4.6845e-03 1.0901e-02
-151.3826 2.6406e-03 1.0836e-02
-149.7319 4.0222e-03 9.1454e-03
-148.0812 1.1300e-02 1.1070e-02
-146.4305 7.7239e-03 1.0799e-02
-144.7798 -1.0663e-02 7.0600e-03
-143.1291 -8.8993e-04 1.0287e-02
-141.4784 7.0805e-03 1.0762e-02
-139.8276 1.6092e-02 9.6251e-03
-138.1769 3.3837e-03 9.0318e-03
-136.5262 -5.5802e-03 8.1962e-03
-134.8755 -8.5454e-03 7.6399e-03
-133.2248 -4.8671e-03 8.6823e-03
-131.5741 4.0986e-04 8.8430e-03
-129.9234 1.3044e-02 9.6543e-03
-128.2727 -4.6303e-03 8.6060e-03
-126.6220 -1.3575e-02 7.4777e-03
-124.9713 1.5866e-02 1.0539e-02
-123.3206 9.0274e-03 1.0332e-02
-121.6699 2.5030e-03 9.9928e-03
-120.0192 1.2816e-02 1.0858e-02
-118.3685 5.9332e-03 9.9112e-03
-116.7178 -6.5099e-04 9.0952e-03
-115.0671 7.8806e-03 1.0565e-02
-113.4164 4.7135e-03 1.0079e-02
-111.7657 1.7056e-03 9.6914e-03
-110.1149 1.8228e-02 1.1930e-02
-108.4642 6.1440e-03 1.0381e-02
-106.8135 -1.0048e-02 7.6760e-03
-105.1628 3.3400e-03 9.7690e-03
-103.5121 2.4144e-04 9.5092e-03
-101.8614 -6.1177e-03 8.4495e-03
-100.2107 -6.3654e-04 9.1722e-03
-98.5600 2.0015e-03 9.1474e-03
-96.9093 3.9402e-03 8.2478e-03
-95.2586 1.0590e-03 8.7460e-03
-93.6079 -2.7364e-03 8.5117e-03
-91.9572 -7.1347e-03 7.0118e-03
-90.3065 2.8091e-03 9.2241e-03
-88.6558 1.5644e-03 9.0826e-03
-87.0051 -5.1157e-03 7.1740e-03
-85.3544 -3.5347e-03 8.7377e-03
-83.7037 -3.5401e-03 8.5846e-03
-82.0529 -4.2068e-03 6.6043e-03
-80.4022 -7.4732e-04 8.8863e-03
-78.7515 4.3477e-03 9.1983e-03
-77.1008 1.1663e-02 8.3297e-03
-75.4501 2.1325e-03 9.6464e-03
-73.7994 2.2547e-03 9.6975e-03
-72.1487 1.0792e-02 8.4219e-03
-70.4980 -1.7443e-03 8.2557e-03
-68.8473 -6.5683e-03 7.9579e-03
-67.1966 -5.3882e-03 6.8936e-03
-65.5459 5.0858e-04 9.7674e-03
-63.8952 7.0570e-03 1.0231e-02
-62.2445 1.6891e-02 9.7515e-03
-60.5938 -2.0799e-03 8.6941e-03
-58.9431 -6.8559e-03 8.2259e-03
-57.2924 6.0177e-03 9.0789e-03
-55.6417 6.0915e-03 1.0505e-02
-53.9909 5.9408e-03 1.0440e-02
-52.3402 4.8125e-03 9.1344e-03
-50.6895 5.7340e-03 1.0607e-02
-49.0388 8.1189e-03 1.0613e-02
-47.3881 1.4803e-02 9.7585e-03
-45.7374 3.1486e-03 1.0256e-02
-44.0867 -5.6582e-03 9.7915e-03
-42.4360 -1.1167e-02 7.7542e-03
-40.7853 -4.3352e-03 9.0519e-03
-39.1346 -2.6919e-03 8.9907e-03
-37.4839 -1.2906e-02 6.6014e-03
-35.8332 -4.5682e-03 9.5254e-03
-34.1825 2.4822e-04 1.0117e-02
-32.5318 -4.1089e-03 7.9048e-03
-30.8811 5.7633e-03 1.0548e-02
-29.2304 1.1623e-02 1.1157e-02
-27.5797 7.3647e-03 1.0020e-02
-25.9289 8.5810e-03 1.1280e-02
-24.2782 1.6119e-02 1.1478e-02
-22.6275 3.4319e-02 1.3008e-02
-20.9768 7.3371e-02 1.8521e-02
-19.3261 1.2319e-01 2.0463e-02
-17.6754 1.9306e-01 2.3792e-02
-16.0247 2.8607e-01 3.0549e-02
-14.3740 3.6882e-01 3.2649e-02
-12.7233 4.1647e-01 3.2746e-02
-11.0726 5.1898e-01 3.9031e-02
-9.4219 5.8553e-01 4.0600e-02
-7.7712 5.4030e-01 3.6502e-02
-6.1205 5.9126e-01 4.1394e-02
-4.4698 6.3093e-01 4.2327e-02
-2.8191 6.2667e-01 3.9209e-02
-1.1684 6.3611e-01 4.2646e-02
0.4823 6.3591e-01 4.2744e-02
2.1331 5.9550e-01 3.8524e-02
3.7838 6.4940e-01 4.3289e-02
5.4345 6.9094e-01 4.4213e-02
7.0852 6.7574e-01 4.0922e-02
8.7359 7.2044e-01 4.5324e-02
10.3866 7.4120e-01 4.5890e-02
12.0373 6.6763e-01 4.0483e-02
13.6880 7.3129e-01 4.5776e-02
15.3387 7.8651e-01 4.6889e-02
16.9894 8.0001e-01 4.3853e-02
18.6401 7.8233e-01 4.7010e-02
20.2908 7.8080e-01 4.6794e-02
21.9415 8.3725e-01 4.4535e-02
23.5922 8.2712e-01 4.8065e-02
25.2429 8.1957e-01 4.7866e-02
26.8936 8.2927e-01 4.4389e-02
