# velocity_kms flux error
-299.66678 -1.58503 3.49444
-297.80322 -0.37354 3.56047
-295.93967 2.68883 3.32865
-294.07608 1.05665 3.30027
-292.24582 -2.35197 2.47089
-290.38226 -0.37412 3.20179
-288.51871 1.26936 3.00856
-286.65515 -0.24438 3.39437
-284.79160 -1.06995 3.54969
-282.96130 -1.51526 3.37313
-281.09775 -2.17211 3.20597
-279.23419 -3.38224 2.54233
-277.37064 -1.40475 2.94052
-275.50708 0.68407 2.53174
-273.64352 0.71144 2.94408
-271.81323 0.63826 2.97762
-269.94968 -0.85119 2.92646
-268.08612 -1.22996 2.84459
-266.22256 -1.71175 2.44092
-264.35901 1.35263 2.86762
-262.52875 5.32787 2.61282
-260.66516 -1.38026 2.60546
-258.80161 -5.58207 2.32149
-256.93808 -3.43168 2.29103
-255.07449 -2.13651 2.30743
-253.24423 -0.01588 2.52591
-251.38066 0.33787 2.74182
-249.51709 0.65805 2.36630
-247.65355 -1.83248 2.66572
-245.78998 -3.42443 2.41784
-243.95972 0.16871 3.05022
-242.09615 1.34834 3.10564
-240.23257 1.10397 2.77294
-238.36903 -0.17244 2.89400
-236.50546 -2.19073 2.50016
-234.67519 -0.54095 3.30000
-232.81163 0.83300 3.17703
-230.94807 1.44939 3.80003
-229.08452 1.65797 3.90828
-227.22096 1.11344 3.31766
-225.35741 0.39232 3.26528
-223.52711 -0.86702 2.54736
-221.66356 1.59782 3.39168
-219.80000 3.52500 3.26460
-217.93646 -2.47196 3.78350
-216.07289 -3.89957 3.93483
-214.24261 1.03346 4.19337
-212.37906 2.27428 4.10426
-210.51550 3.02554 3.35533
-208.65195 2.21387 3.89868
-206.78839 1.37621 3.42187
-204.95810 -1.15551 3.66596
-203.09454 -1.92701 3.78352
-201.23099 -0.20351 3.72856
-199.36743 2.81897 3.65759
-197.50388 8.01863 3.20158
-195.67360 2.94954 3.70980
-193.81003 -1.85557 3.24803
-191.94647 -0.06095 4.10779
-190.08292 -0.40005 4.34518
-188.21936 -3.58201 3.84707
-186.38908 -4.01268 4.01849
-184.52551 -3.62935 4.38774
-182.66196 -3.57286 4.31736
-180.79840 -3.35576 3.05394
-178.93484 2.03808 4.41138
-177.07129 4.28132 4.72505
-175.24101 1.68622 4.45247
-173.37744 0.72818 4.24914
-171.51389 -0.13492 3.26238
-169.65033 -0.68578 3.75061
-167.78677 -1.14638 3.28491
-165.95650 0.89042 4.16308
-164.09293 1.50096 4.37422
-162.22937 -0.65598 4.34669
-160.36581 1.46794 4.34661
-158.50226 5.56496 3.86919
-156.67198 4.01118 4.47695
-154.80843 2.66135 3.97882
-152.94485 2.63543 4.85399
-151.08130 1.53788 5.02017
-149.21776 -2.48116 4.49851
-147.38747 0.54628 4.57607
-145.52391 6.22242 4.00371
-143.66035 5.21103 4.94201
-141.79680 4.13247 4.65214
-139.93324 -1.96238 4.95143
-138.10295 -1.89077 5.02016
-136.23941 7.07488 4.97623
-134.37585 5.65297 5.03792
-132.51228 2.23062 3.98940
-130.64873 0.63076 4.57684
-128.81845 -0.76499 4.25190
-126.95489 0.43267 4.92313
-125.09133 -1.14162 4.91381
-123.22777 -6.59721 3.68451
-121.36421 -3.63720 4.16205
-119.50066 0.89554 3.85248
-117.67038 -1.13075 4.46974
-115.80682 -1.88188 4.37185
-113.94326 0.89325 5.20969
-112.07970 1.07273 5.16414
-110.21614 -0.11462 4.54093
-108.38586 -1.63548 5.01246
-106.52231 -3.51946 4.26660
-104.65874 7.75894 8.49540
-102.79519 11.70450 9.46662
-100.93163 -3.47903 5.03167
-99.10135 -5.27710 4.76547
-97.23779 -2.67663 4.10773
-95.37423 0.97311 5.06034
-93.51067 4.44637 4.72825
-91.64713 -1.65872 5.51708
-89.81684 -2.78354 5.74008
-87.95328 4.59886 5.87217
-86.08972 2.34256 5.69648
-84.22617 -3.15530 4.42646
-82.36261 -1.80071 5.33626
-80.53233 -0.77269 5.01391
-78.66877 -0.41535 5.97125
-76.80521 0.21987 6.06251
-74.94165 1.49221 5.54548
-73.07809 0.67207 5.81305
-71.21454 -0.55246 4.82269
-69.38426 -1.07566 5.94371
-67.52070 -1.26884 5.98810
-65.65714 1.15514 6.63643
-63.79358 -0.60655 6.44427
-61.93003 -6.52833 4.75068
-60.09975 -2.10210 5.72296
-58.23619 2.90015 5.34091
-56.37263 2.23389 6.15719
-54.50907 0.94666 6.43315
-52.64551 -4.65713 5.48686
-50.81523 -4.46060 5.35896
-48.95168 -2.31558 4.65486
-47.08812 -1.70789 5.82170
-45.22456 -1.06381 5.59272
-43.36100 -0.40109 7.10912
-41.53072 0.04923 7.23546
-39.66716 0.82357 6.26145
-37.80360 -1.53916 6.41424
-35.94005 -5.00172 5.05014
-34.07649 1.73478 6.75618
-32.24621 5.31253 7.08283
-30.38265 -0.33231 6.91895
-28.51909 0.25989 6.78244
-26.65553 4.42102 5.97275
-24.79198 1.16713 6.76370
-22.92842 -2.12105 5.94154
-21.09814 -0.37013 6.83380
-19.23458 -0.31700 7.03957
-17.37102 -2.49997 6.57512
-15.50747 -1.47701 6.64345
-13.64391 0.26237 5.55368
-11.81363 1.97454 7.09273
-9.95007 3.56508 7.13810
-8.08651 4.62889 7.76593
-6.22295 5.19971 7.74403
-4.35939 4.82143 6.91549
-2.52911 7.47064 7.73034
-0.66556 10.33341 6.73893
1.19800 11.32616 8.39516
3.06156 9.44182 8.83388
4.92512 -1.37801 7.82166
6.75540 0.15123 7.95707
8.61896 6.06107 7.24407
10.48251 -0.76580 8.65198
12.34607 -4.01804 8.38754
14.20963 14.70239 10.36756
16.03991 14.88627 10.30237
17.90347 0.82063 7.92647
19.76702 2.30109 9.01712
21.63058 4.68179 8.08466
23.49414 8.88760 9.99302
25.35770 9.09930 10.51532
27.18798 -0.50186 9.78535
29.05154 1.62568 9.81157
30.91510 8.45941 8.49053
32.77865 -4.57312 9.56566
34.64221 -13.09070 9.10036
36.47249 -0.09856 11.27719
38.33605 0.30990 11.44849
40.19961 -7.97166 11.14576
42.06317 0.32255 11.47904
43.92672 9.06093 8.97164
45.75700 -4.65727 10.70080
47.62056 -11.03766 11.07278
49.48412 -13.51108 9.29862
51.34768 -1.63161 9.83321
53.21124 16.81481 8.97664
55.04152 -0.07148 9.95333
56.90508 -10.46858 9.81410
58.76863 -7.29709 10.97883
60.63219 -0.58372 10.76329
62.49575 12.17415 8.94035
64.32603 9.36352 9.98407
66.18959 5.99026 8.89355
68.05314 -6.47175 10.70528
69.91670 -6.37281 11.02116
71.78026 10.89068 10.98173
73.61054 6.65624 12.14770
75.47410 -0.35370 10.92227
77.33765 -0.78821 13.54583
79.20121 -1.02209 14.50554
