# velocity_kms flux_normalized error
-299.0644 9.1795e-01 1.6710e-01
-297.3700 9.6933e-01 1.6187e-01
-295.6757 1.1693e+00 1.6282e-01
-293.9814 9.7680e-01 1.5092e-01
-292.2870 9.9005e-01 1.7354e-01
-290.5927 1.0074e+00 1.7333e-01
-288.8983 9.9890e-01 1.5066e-01
-287.2040 1.0240e+00 1.6220e-01
-285.5096 9.6735e-01 1.6362e-01
-283.8153 9.4773e-01 1.7259e-01
-282.1210 9.9208e-01 1.6838e-01
-280.4266 1.0909e+00 1.6206e-01
-278.7323 1.0592e+00 1.7321e-01
-277.0379 1.0145e+00 1.7314e-01
-275.3436 1.0372e+00 1.6465e-01
-273.6493 1.0880e+00 1.7302e-01
-271.9549 1.1836e+00 1.8099e-01
-270.2606 9.4886e-01 1.7120e-01
-268.5662 1.0879e+00 1.7872e-01
-266.8719 9.9999e-01 1.6497e-01
-265.1776 9.3714e-01 1.6922e-01
-263.4832 8.9613e-01 1.6752e-01
-261.7889 1.0882e+00 1.6244e-01
-260.0945 1.0333e+00 1.7811e-01
-258.4002 1.0404e+00 1.8339e-01
-256.7059 1.1050e+00 1.7820e-01
-255.0115 9.3410e-01 1.7000e-01
-253.3172 1.1101e+00 1.6417e-01
-251.6228 1.0484e+00 1.8294e-01
-249.9285 9.7407e-01 1.8104e-01
-248.2341 9.1548e-01 1.5907e-01
-246.5398 1.1387e+00 1.8011e-01
-244.8455 1.0753e+00 1.8264e-01
-243.1511 1.1772e+00 1.8996e-01
-241.4568 1.0807e+00 1.8266e-01
-239.7624 8.3529e-01 1.6272e-01
-238.0681 9.0560e-01 1.7815e-01
-236.3738 1.1056e+00 1.8647e-01
-234.6794 1.0425e+00 1.7269e-01
-232.9851 9.9851e-01 1.8092e-01
-231.2907 9.0303e-01 1.7741e-01
-229.5964 1.1514e+00 1.8619e-01
-227.9021 1.1228e+00 1.8638e-01
-226.2077 1.1580e+00 1.8521e-01
-224.5134 1.0808e+00 1.8794e-01
-222.8190 1.0214e+00 1.9137e-01
-221.1247 9.6893e-01 1.6664e-01
-219.4304 9.7051e-01 1.8374e-01
-217.7360 9.3314e-01 1.8849e-01
-216.0417 9.4346e-01 1.7178e-01
-214.3473 1.1154e+00 1.9019e-01
-212.6530 1.1299e+00 1.9121e-01
-210.9586 9.7834e-01 1.9451e-01
-209.2643 9.1552e-01 1.9422e-01
-207.5700 1.0364e+00 1.7379e-01
-205.8756 1.0833e+00 1.9588e-01
-204.1813 9.5537e-01 1.9178e-01
-202.4869 1.0252e+00 1.9007e-01
-200.7926 9.8150e-01 2.0170e-01
-199.0983 1.0206e+00 1.9581e-01
-197.4039 1.0998e+00 1.9995e-01
-195.7096 9.9253e-01 1.9404e-01
-194.0152 1.0804e+00 1.9295e-01
-192.3209 1.1169e+00 2.1428e-01
-190.6266 1.0271e+00 1.9936e-01
-188.9322 9.2939e-01 1.7793e-01
-187.2379 1.0241e+00 1.9715e-01
-185.5435 1.0205e+00 1.9973e-01
-183.8492 1.1196e+00 2.0657e-01
-182.1549 1.1034e+00 2.0192e-01
-180.4605 9.5128e-01 1.9049e-01
-178.7662 8.5389e-01 1.9866e-01
