# Atomic data for Iron II
# Source: NIST ASD 5.11.1
# URL: https://physics.nist.gov/ASD
# Downloaded: 2026-07-06T18:05:37.280584
# Method: astroquery.nist (programmatic access)
#
# Format: wavelength (Å)  oscillator_strength  transition  lower_level  upper_level
#
1608.2920  N/A  1608 Å  3d6.(3P2).4s | b 2P | 3/2  3d5.(4G).4s.4p.(3P*) | y 6F* | 3/2
1608.4508  1.9100e+08  1608 Å  3d6.(5D).4s  | a 6D | 9/2  3d5.(6S).4s.4p.(3P*) | y 6P* | 7/2
1608.5363  2.1000e+06  1608 Å  3d7          | a 4F | 9/2  3d6.(3F2).4p         | y 4G* | 7/2
1144.0460  1.7000e+07  1144 Å  3d6.(3P2).4s | b 4P  | 5/2  3d5.(2F1).4s.4p.(3P*) | 4D*   | 7/2
1144.2680  1.0000e+08  1144 Å  3d6.(5D).4s  | a 6D  | 5/2  3d5.(4P).4s.4p.(3P*)  | 6D*   | 5/2
1144.4330  4.5000e+07  1144 Å  3d6.(3H).4s  | a 4H  | 11/2  3d5.(4G).4s.(5G).4p   | 4H*   | 11/2
1144.4910  2.0000e+07  1144 Å  3d6.(3F2).4s | b 4F  | 3/2  3d6.(3F2).5p          | 4F*   | 3/2
1144.5660  N/A  1144 Å  3d7          | a 2D2 | 5/2  3d5.(4F).4s.4p.(3P*)  | 6D*   | 7/2
1144.6730  2.1000e+07  1144 Å  3d6.(3P2).4s | b 4P  | 5/2  3d5.(4F).4s.4p.(3P*)  | 6D*   | 3/2
1144.7390  2.2000e+07  1144 Å  3d6.(3F2).4s | b 4F  | 7/2  3d6.(3F2).5p          | 4F*   | 9/2
1144.7390  N/A  1144 Å  3d6.(3G).4s  | a 4G  | 7/2  3d6.(5D<3>).5f        | 2[4]* | 7/2
1144.9260  N/A  1144 Å  3d7          | a 2G  | 7/2  3d6.(5D<2>).4f        | 2[4]* | 7/2
1144.9260  3.5000e+08  1144 Å  3d6.(5D).4s  | a 6D  | 9/2  3d5.(4G).4s.4p.(3P*)  | y 6F* | 11/2
