[22:25:47] [INFO] ================================================================================
[22:25:47] [INFO] Script: step_03_significance
[22:25:47] [INFO] Started: 2026-08-07T22:25:47.205139
[22:25:47] [INFO] ================================================================================
[22:25:47] [SUCCESS] === GATE 3R: GENUINE MONTE CARLO CALIBRATION ===
[22:25:47] [PROCESS] Pre-calculating base True-D model fluxes...
[22:25:47] [INFO] 
[22:25:47] [INFO] ================================================================================
[22:25:47] [INFO] 
--- Running True-D Monte Carlo Simulations (200 realizations) ---
[22:25:47] [INFO] ================================================================================
[22:25:47] [INFO] 
[00:11:46] [PROCESS] Completed 1/200 simulations. Parent exceedances (>=6.45): 0
[00:12:09] [PROCESS] Completed 2/200 simulations. Parent exceedances (>=6.45): 0
[00:14:05] [PROCESS] Completed 3/200 simulations. Parent exceedances (>=6.45): 0
[00:14:10] [PROCESS] Completed 4/200 simulations. Parent exceedances (>=6.45): 0
[00:14:11] [PROCESS] Completed 5/200 simulations. Parent exceedances (>=6.45): 0
[00:14:59] [PROCESS] Completed 6/200 simulations. Parent exceedances (>=6.45): 0
[00:14:59] [PROCESS] Completed 7/200 simulations. Parent exceedances (>=6.45): 0
[00:15:30] [PROCESS] Completed 8/200 simulations. Parent exceedances (>=6.45): 0
[00:15:46] [PROCESS] Completed 9/200 simulations. Parent exceedances (>=6.45): 0
[00:16:00] [PROCESS] Completed 10/200 simulations. Parent exceedances (>=6.45): 0
[00:16:01] [PROCESS] Completed 11/200 simulations. Parent exceedances (>=6.45): 0
[00:17:07] [PROCESS] Completed 12/200 simulations. Parent exceedances (>=6.45): 0
[00:17:42] [PROCESS] Completed 13/200 simulations. Parent exceedances (>=6.45): 0
[00:17:46] [PROCESS] Completed 14/200 simulations. Parent exceedances (>=6.45): 0
[00:28:23] [PROCESS] Completed 15/200 simulations. Parent exceedances (>=6.45): 0
[00:29:04] [PROCESS] Completed 16/200 simulations. Parent exceedances (>=6.45): 0
[00:29:14] [PROCESS] Completed 17/200 simulations. Parent exceedances (>=6.45): 0
[00:29:16] [PROCESS] Completed 18/200 simulations. Parent exceedances (>=6.45): 0
[00:29:30] [PROCESS] Completed 19/200 simulations. Parent exceedances (>=6.45): 0
[00:29:32] [PROCESS] Completed 20/200 simulations. Parent exceedances (>=6.45): 0
[00:29:47] [PROCESS] Completed 21/200 simulations. Parent exceedances (>=6.45): 0
[00:30:23] [PROCESS] Completed 22/200 simulations. Parent exceedances (>=6.45): 0
[00:30:27] [PROCESS] Completed 23/200 simulations. Parent exceedances (>=6.45): 0
[00:31:32] [PROCESS] Completed 24/200 simulations. Parent exceedances (>=6.45): 0
[00:32:58] [PROCESS] Completed 25/200 simulations. Parent exceedances (>=6.45): 0
[00:33:21] [PROCESS] Completed 26/200 simulations. Parent exceedances (>=6.45): 0
[00:34:23] [PROCESS] Completed 27/200 simulations. Parent exceedances (>=6.45): 0
[00:37:29] [PROCESS] Completed 28/200 simulations. Parent exceedances (>=6.45): 0
[00:44:04] [PROCESS] Completed 29/200 simulations. Parent exceedances (>=6.45): 0
[00:45:13] [PROCESS] Completed 30/200 simulations. Parent exceedances (>=6.45): 0
[00:45:17] [PROCESS] Completed 31/200 simulations. Parent exceedances (>=6.45): 0
[00:45:23] [PROCESS] Completed 32/200 simulations. Parent exceedances (>=6.45): 0
[00:45:36] [PROCESS] Completed 33/200 simulations. Parent exceedances (>=6.45): 0
[00:46:05] [PROCESS] Completed 34/200 simulations. Parent exceedances (>=6.45): 0
[00:46:15] [PROCESS] Completed 35/200 simulations. Parent exceedances (>=6.45): 0
[00:46:43] [PROCESS] Completed 36/200 simulations. Parent exceedances (>=6.45): 1
[00:46:49] [PROCESS] Completed 37/200 simulations. Parent exceedances (>=6.45): 1
[00:47:05] [PROCESS] Completed 38/200 simulations. Parent exceedances (>=6.45): 1
[00:48:48] [PROCESS] Completed 39/200 simulations. Parent exceedances (>=6.45): 1
[00:49:23] [PROCESS] Completed 40/200 simulations. Parent exceedances (>=6.45): 1
[00:49:34] [PROCESS] Completed 41/200 simulations. Parent exceedances (>=6.45): 1
[00:52:44] [PROCESS] Completed 42/200 simulations. Parent exceedances (>=6.45): 1
[00:57:36] [PROCESS] Completed 43/200 simulations. Parent exceedances (>=6.45): 1
[00:59:46] [PROCESS] Completed 44/200 simulations. Parent exceedances (>=6.45): 1
[01:00:14] [PROCESS] Completed 45/200 simulations. Parent exceedances (>=6.45): 1
[01:00:21] [PROCESS] Completed 46/200 simulations. Parent exceedances (>=6.45): 1
[01:00:50] [PROCESS] Completed 47/200 simulations. Parent exceedances (>=6.45): 1
[01:01:29] [PROCESS] Completed 48/200 simulations. Parent exceedances (>=6.45): 1
[01:02:07] [PROCESS] Completed 49/200 simulations. Parent exceedances (>=6.45): 1
[01:02:18] [PROCESS] Completed 50/200 simulations. Parent exceedances (>=6.45): 1
[01:03:35] [PROCESS] Completed 51/200 simulations. Parent exceedances (>=6.45): 2
[01:05:13] [PROCESS] Completed 52/200 simulations. Parent exceedances (>=6.45): 2
[01:05:16] [PROCESS] Completed 53/200 simulations. Parent exceedances (>=6.45): 3
[01:05:26] [PROCESS] Completed 54/200 simulations. Parent exceedances (>=6.45): 3
[01:05:55] [PROCESS] Completed 55/200 simulations. Parent exceedances (>=6.45): 3
[01:08:48] [PROCESS] Completed 56/200 simulations. Parent exceedances (>=6.45): 3
[01:12:06] [PROCESS] Completed 57/200 simulations. Parent exceedances (>=6.45): 3
[01:13:29] [PROCESS] Completed 58/200 simulations. Parent exceedances (>=6.45): 3
[01:13:59] [PROCESS] Completed 59/200 simulations. Parent exceedances (>=6.45): 3
[01:14:44] [PROCESS] Completed 60/200 simulations. Parent exceedances (>=6.45): 3
[01:14:58] [PROCESS] Completed 61/200 simulations. Parent exceedances (>=6.45): 3
[01:15:24] [PROCESS] Completed 62/200 simulations. Parent exceedances (>=6.45): 3
[01:17:05] [PROCESS] Completed 63/200 simulations. Parent exceedances (>=6.45): 3
[01:17:07] [PROCESS] Completed 64/200 simulations. Parent exceedances (>=6.45): 3
[01:20:25] [PROCESS] Completed 65/200 simulations. Parent exceedances (>=6.45): 3
[01:20:54] [PROCESS] Completed 66/200 simulations. Parent exceedances (>=6.45): 3
[01:21:04] [PROCESS] Completed 67/200 simulations. Parent exceedances (>=6.45): 3
[01:22:44] [PROCESS] Completed 68/200 simulations. Parent exceedances (>=6.45): 3
[01:22:58] [PROCESS] Completed 69/200 simulations. Parent exceedances (>=6.45): 3
[01:23:51] [PROCESS] Completed 70/200 simulations. Parent exceedances (>=6.45): 3
[01:27:21] [PROCESS] Completed 71/200 simulations. Parent exceedances (>=6.45): 3
[01:27:42] [PROCESS] Completed 72/200 simulations. Parent exceedances (>=6.45): 3
[01:27:58] [PROCESS] Completed 73/200 simulations. Parent exceedances (>=6.45): 3
[01:30:44] [PROCESS] Completed 74/200 simulations. Parent exceedances (>=6.45): 3
[01:31:09] [PROCESS] Completed 75/200 simulations. Parent exceedances (>=6.45): 3
[01:31:55] [PROCESS] Completed 76/200 simulations. Parent exceedances (>=6.45): 4
[01:32:01] [PROCESS] Completed 77/200 simulations. Parent exceedances (>=6.45): 4
[01:32:52] [PROCESS] Completed 78/200 simulations. Parent exceedances (>=6.45): 4
[01:35:09] [PROCESS] Completed 79/200 simulations. Parent exceedances (>=6.45): 4
[01:35:28] [PROCESS] Completed 80/200 simulations. Parent exceedances (>=6.45): 4
[01:36:01] [PROCESS] Completed 81/200 simulations. Parent exceedances (>=6.45): 4
[01:37:07] [PROCESS] Completed 82/200 simulations. Parent exceedances (>=6.45): 4
[01:39:36] [PROCESS] Completed 83/200 simulations. Parent exceedances (>=6.45): 4
[01:40:41] [PROCESS] Completed 84/200 simulations. Parent exceedances (>=6.45): 4
[01:41:55] [PROCESS] Completed 85/200 simulations. Parent exceedances (>=6.45): 4
[01:43:50] [PROCESS] Completed 86/200 simulations. Parent exceedances (>=6.45): 4
[01:44:09] [PROCESS] Completed 87/200 simulations. Parent exceedances (>=6.45): 4
[01:44:13] [PROCESS] Completed 88/200 simulations. Parent exceedances (>=6.45): 4
[01:46:48] [PROCESS] Completed 89/200 simulations. Parent exceedances (>=6.45): 4
[01:47:03] [PROCESS] Completed 90/200 simulations. Parent exceedances (>=6.45): 4
[01:47:44] [PROCESS] Completed 91/200 simulations. Parent exceedances (>=6.45): 4
[01:48:42] [PROCESS] Completed 92/200 simulations. Parent exceedances (>=6.45): 4
[01:50:00] [PROCESS] Completed 93/200 simulations. Parent exceedances (>=6.45): 4
[01:50:03] [PROCESS] Completed 94/200 simulations. Parent exceedances (>=6.45): 4
[01:50:33] [PROCESS] Completed 95/200 simulations. Parent exceedances (>=6.45): 4
[01:52:05] [PROCESS] Completed 96/200 simulations. Parent exceedances (>=6.45): 4
[01:55:02] [PROCESS] Completed 97/200 simulations. Parent exceedances (>=6.45): 4
[01:55:07] [PROCESS] Completed 98/200 simulations. Parent exceedances (>=6.45): 5
[01:58:25] [PROCESS] Completed 99/200 simulations. Parent exceedances (>=6.45): 5
[01:58:39] [PROCESS] Completed 100/200 simulations. Parent exceedances (>=6.45): 5
[01:58:41] [PROCESS] Completed 101/200 simulations. Parent exceedances (>=6.45): 5
[01:59:43] [PROCESS] Completed 102/200 simulations. Parent exceedances (>=6.45): 5
[02:00:12] [PROCESS] Completed 103/200 simulations. Parent exceedances (>=6.45): 5
[02:00:29] [PROCESS] Completed 104/200 simulations. Parent exceedances (>=6.45): 5
